industry,intent_type,model_name,avg_mention_count,std_mention_count,avg_citation_count,std_citation_count,n
寵物業,推薦型,chatgpt,7.5926,2.3272,5.1667,1.489,54
寵物業,推薦型,gemini,7.4444,1.9587,10.5185,2.1783,54
寵物業,比較型,chatgpt,3.037,3.9428,4.4815,2.0808,54
寵物業,比較型,gemini,5.537,4.8902,11.5,2.4934,54
寵物業,知識型,chatgpt,0.1481,0.4517,3.7778,2.3284,54
寵物業,知識型,gemini,1.3519,2.4507,10.0926,2.2842,54
搬家類,推薦型,chatgpt,6.6296,1.7729,6.2037,1.4969,54
搬家類,推薦型,gemini,11.3148,3.4413,11.3333,3.8754,54
搬家類,比較型,chatgpt,0.3519,0.6773,4.3519,1.6271,54
搬家類,比較型,gemini,2.2037,2.5652,11.2593,2.4815,54
搬家類,知識型,chatgpt,0.2778,0.5961,5.2037,1.9463,54
搬家類,知識型,gemini,0.6667,1.0094,11.8333,2.7317,54
服裝類,推薦型,chatgpt,2.6667,3.8116,5.2222,1.369,54
服裝類,推薦型,gemini,6.2778,3.8285,10.8333,2.5899,54
服裝類,比較型,chatgpt,3.0926,5.074,3.3148,2.4788,54
服裝類,比較型,gemini,4.2407,5.5523,12.3148,2.524,54
服裝類,知識型,chatgpt,0.5926,2.0514,2.9815,2.5065,54
服裝類,知識型,gemini,0.8519,1.3792,11.1296,3.5398,54
法律類,推薦型,chatgpt,3.1852,2.6922,5,1.5172,54
法律類,推薦型,gemini,4.9259,3.1911,10.5926,2.9237,54
法律類,比較型,chatgpt,0.4815,0.6934,2.8519,1.2348,54
法律類,比較型,gemini,0.7407,1.119,11.5,3.3124,54
法律類,知識型,chatgpt,0.4259,0.7423,4.4815,1.1115,54
法律類,知識型,gemini,0.7963,1.0707,13.8333,2.4398,54
科技類,推薦型,chatgpt,4.8519,1.3928,4.1667,1.2701,54
科技類,推薦型,gemini,5.1111,1.3127,9.2963,4.816,54
科技類,比較型,chatgpt,3.3333,2.7472,4.5,1.5871,54
科技類,比較型,gemini,4.1111,3.0633,8.5741,5.0079,54
科技類,知識型,chatgpt,0.2407,0.5472,5.037,1.427,54
科技類,知識型,gemini,2.7963,2.7907,8.7778,4.612,54
美妝業,推薦型,chatgpt,5.7963,1.7844,4.6852,1.576,54
美妝業,推薦型,gemini,7.3148,2.2219,12.8519,2.7569,54
美妝業,比較型,chatgpt,2.4074,3.4886,3.5741,2.4075,54
美妝業,比較型,gemini,3.9074,5.4953,12.9444,2.9295,54
美妝業,知識型,chatgpt,0.2593,1.1358,3.5741,1.2529,54
美妝業,知識型,gemini,1.5185,2.2716,12.5741,2.765,54
行銷類,推薦型,chatgpt,9.0189,2.0615,6.8302,1.7291,53
行銷類,推薦型,gemini,7.6111,1.7953,10,2.2903,54
行銷類,比較型,chatgpt,0.8889,1.0757,3.1111,1.4363,54
行銷類,比較型,gemini,2.7222,2.5802,10.6667,2.7745,54
行銷類,知識型,chatgpt,1.8519,1.3654,4.2222,1.4879,54
行銷類,知識型,gemini,2.1852,1.8538,9.463,2.4626,54
金融類,推薦型,chatgpt,6.6296,2.7286,4.6296,1.2634,54
金融類,推薦型,gemini,9.8148,3.5399,11.2593,2.679,54
金融類,比較型,chatgpt,1.3889,2.3264,2.9074,1.8147,54
金融類,比較型,gemini,8.7593,3.7413,13.2407,5.3762,54
金融類,知識型,chatgpt,0.5741,1.092,3.2037,1.9463,54
金融類,知識型,gemini,4.8704,5.0134,10.4074,3.0808,54
電腦類,推薦型,chatgpt,6.3704,2.572,4.2963,1.5737,54
電腦類,推薦型,gemini,6.8704,2.2658,9.3519,2.7756,54
電腦類,比較型,chatgpt,3.7963,3.2585,4.3704,1.4182,54
電腦類,比較型,gemini,6.4815,3.5647,8.7222,3.7337,54
電腦類,知識型,chatgpt,2.3962,2.239,2.6038,2.1334,53
電腦類,知識型,gemini,4.1111,3.1483,10.2222,3.0878,54
食品業,推薦型,chatgpt,7.7407,1.639,5.2963,1.4747,54
食品業,推薦型,gemini,11.2593,2.5711,14.5556,4.4283,54
食品業,比較型,chatgpt,3.434,3.9297,4.1698,1.4509,53
食品業,比較型,gemini,7.8148,3.4916,13.2778,4.3844,54
食品業,知識型,chatgpt,0.1111,0.4624,2.2593,1.5804,54
食品業,知識型,gemini,1.1111,1.87,7.537,2.2463,54
