intent_type,model_name,category,count,percentage
推薦型,chatgpt,brand_site,606,21.8457
推薦型,chatgpt,ecommerce_site,113,4.0735
推薦型,chatgpt,influencer_blogger,1165,41.9971
推薦型,chatgpt,news_media,629,22.6748
推薦型,chatgpt,other_category,219,7.8947
推薦型,chatgpt,social_media,9,0.3244
推薦型,chatgpt,unknown,33,1.1896
推薦型,gemini,brand_site,972,16.276
推薦型,gemini,ecommerce_site,408,6.8319
推薦型,gemini,influencer_blogger,2669,44.6919
推薦型,gemini,news_media,1188,19.8928
推薦型,gemini,other_category,221,3.7006
推薦型,gemini,social_media,302,5.0569
推薦型,gemini,unknown,212,3.5499
比較型,chatgpt,brand_site,442,21.7949
比較型,chatgpt,ecommerce_site,86,4.2406
比較型,chatgpt,influencer_blogger,792,39.0533
比較型,chatgpt,news_media,368,18.146
比較型,chatgpt,other_category,255,12.574
比較型,chatgpt,social_media,10,0.4931
比較型,chatgpt,unknown,75,3.6982
比較型,gemini,brand_site,1325,21.5237
比較型,gemini,ecommerce_site,507,8.2359
比較型,gemini,influencer_blogger,2554,41.488
比較型,gemini,news_media,843,13.694
比較型,gemini,other_category,319,5.1819
比較型,gemini,social_media,240,3.8986
比較型,gemini,unknown,368,5.9779
知識型,chatgpt,brand_site,595,29.5432
知識型,chatgpt,ecommerce_site,82,4.0715
知識型,chatgpt,influencer_blogger,682,33.863
知識型,chatgpt,news_media,277,13.7537
知識型,chatgpt,other_category,233,11.569
知識型,chatgpt,social_media,5,0.2483
知識型,chatgpt,unknown,140,6.9513
知識型,gemini,brand_site,1647,28.8088
知識型,gemini,ecommerce_site,407,7.1191
知識型,gemini,influencer_blogger,2005,35.0708
知識型,gemini,news_media,619,10.8274
知識型,gemini,other_category,473,8.2736
知識型,gemini,social_media,110,1.9241
知識型,gemini,unknown,456,7.9762
