industry,model_name,category,count,percentage
寵物業,chatgpt,brand_site,129,17.7931
寵物業,chatgpt,ecommerce_site,97,13.3793
寵物業,chatgpt,influencer_blogger,264,36.4138
寵物業,chatgpt,news_media,82,11.3103
寵物業,chatgpt,other_category,138,19.0345
寵物業,chatgpt,social_media,3,0.4138
寵物業,chatgpt,unknown,12,1.6552
寵物業,gemini,brand_site,209,12.0531
寵物業,gemini,ecommerce_site,281,16.2053
寵物業,gemini,influencer_blogger,818,47.1742
寵物業,gemini,news_media,145,8.3622
寵物業,gemini,other_category,172,9.9193
寵物業,gemini,social_media,90,5.1903
寵物業,gemini,unknown,19,1.0957
搬家類,chatgpt,brand_site,267,31.3749
搬家類,chatgpt,ecommerce_site,6,0.7051
搬家類,chatgpt,influencer_blogger,467,54.8766
搬家類,chatgpt,news_media,40,4.7004
搬家類,chatgpt,other_category,37,4.3478
搬家類,chatgpt,social_media,6,0.7051
搬家類,chatgpt,unknown,28,3.2902
搬家類,gemini,brand_site,360,19.3653
搬家類,gemini,ecommerce_site,25,1.3448
搬家類,gemini,influencer_blogger,1278,68.7466
搬家類,gemini,news_media,82,4.411
搬家類,gemini,other_category,54,2.9048
搬家類,gemini,social_media,17,0.9145
搬家類,gemini,unknown,43,2.3131
服裝類,chatgpt,brand_site,69,11.0932
服裝類,chatgpt,ecommerce_site,62,9.9678
服裝類,chatgpt,influencer_blogger,233,37.4598
服裝類,chatgpt,news_media,176,28.2958
服裝類,chatgpt,other_category,70,11.254
服裝類,chatgpt,social_media,4,0.6431
服裝類,chatgpt,unknown,8,1.2862
服裝類,gemini,brand_site,105,5.6726
服裝類,gemini,ecommerce_site,388,20.9616
服裝類,gemini,influencer_blogger,788,42.5716
服裝類,gemini,news_media,292,15.7753
服裝類,gemini,other_category,147,7.9417
服裝類,gemini,social_media,104,5.6186
服裝類,gemini,unknown,27,1.4587
法律類,chatgpt,brand_site,321,48.1982
法律類,chatgpt,influencer_blogger,273,40.991
法律類,chatgpt,news_media,29,4.3544
法律類,chatgpt,other_category,8,1.2012
法律類,chatgpt,unknown,35,5.2553
法律類,gemini,brand_site,1019,52.5258
法律類,gemini,ecommerce_site,13,0.6701
法律類,gemini,influencer_blogger,483,24.8969
法律類,gemini,news_media,78,4.0206
法律類,gemini,other_category,12,0.6186
法律類,gemini,social_media,26,1.3402
法律類,gemini,unknown,309,15.9278
科技類,chatgpt,brand_site,79,10.6757
科技類,chatgpt,ecommerce_site,13,1.7568
科技類,chatgpt,influencer_blogger,444,60.0
科技類,chatgpt,news_media,178,24.0541
科技類,chatgpt,other_category,24,3.2432
科技類,chatgpt,social_media,2,0.2703
科技類,gemini,brand_site,239,16.6088
科技類,gemini,ecommerce_site,174,12.0917
科技類,gemini,influencer_blogger,590,41.0007
科技類,gemini,news_media,272,18.902
科技類,gemini,other_category,57,3.9611
科技類,gemini,social_media,107,7.4357
美妝業,chatgpt,brand_site,145,22.6917
美妝業,chatgpt,ecommerce_site,20,3.1299
美妝業,chatgpt,influencer_blogger,169,26.4476
美妝業,chatgpt,news_media,214,33.4898
美妝業,chatgpt,other_category,46,7.1987
美妝業,chatgpt,social_media,2,0.313
美妝業,chatgpt,unknown,43,6.7293
美妝業,gemini,brand_site,533,25.7239
美妝業,gemini,ecommerce_site,191,9.2181
美妝業,gemini,influencer_blogger,370,17.8571
美妝業,gemini,news_media,639,30.8398
美妝業,gemini,other_category,84,4.0541
美妝業,gemini,social_media,75,3.6197
美妝業,gemini,unknown,180,8.6873
行銷類,chatgpt,brand_site,393,51.847
行銷類,chatgpt,ecommerce_site,2,0.2639
行銷類,chatgpt,influencer_blogger,172,22.6913
行銷類,chatgpt,news_media,87,11.4776
行銷類,chatgpt,other_category,21,2.7704
行銷類,chatgpt,social_media,1,0.1319
行銷類,chatgpt,unknown,82,10.8179
行銷類,gemini,brand_site,821,50.461
行銷類,gemini,ecommerce_site,26,1.598
行銷類,gemini,influencer_blogger,603,37.0621
行銷類,gemini,news_media,58,3.5648
行銷類,gemini,other_category,14,0.8605
行銷類,gemini,social_media,24,1.4751
行銷類,gemini,unknown,81,4.9785
金融類,chatgpt,brand_site,57,9.8276
金融類,chatgpt,ecommerce_site,14,2.4138
金融類,chatgpt,influencer_blogger,260,44.8276
金融類,chatgpt,news_media,128,22.069
金融類,chatgpt,other_category,118,20.3448
金融類,chatgpt,social_media,3,0.5172
金融類,gemini,brand_site,136,7.2149
金融類,gemini,ecommerce_site,24,1.2732
金融類,gemini,influencer_blogger,993,52.679
金融類,gemini,news_media,281,14.9072
金融類,gemini,other_category,56,2.9708
金融類,gemini,social_media,57,3.0239
金融類,gemini,unknown,338,17.931
電腦類,chatgpt,brand_site,77,12.7063
電腦類,chatgpt,ecommerce_site,24,3.9604
電腦類,chatgpt,influencer_blogger,184,30.363
電腦類,chatgpt,news_media,126,20.7921
電腦類,chatgpt,other_category,164,27.0627
電腦類,chatgpt,social_media,2,0.33
電腦類,chatgpt,unknown,29,4.7855
電腦類,gemini,brand_site,193,12.6309
電腦類,gemini,ecommerce_site,118,7.7225
電腦類,gemini,influencer_blogger,527,34.4895
電腦類,gemini,news_media,201,13.1545
電腦類,gemini,other_category,340,22.2513
電腦類,gemini,social_media,122,7.9843
電腦類,gemini,unknown,27,1.767
食品業,chatgpt,brand_site,106,16.8521
食品業,chatgpt,ecommerce_site,43,6.8362
食品業,chatgpt,influencer_blogger,173,27.504
食品業,chatgpt,news_media,214,34.0223
食品業,chatgpt,other_category,81,12.8776
食品業,chatgpt,social_media,1,0.159
食品業,chatgpt,unknown,11,1.7488
食品業,gemini,brand_site,329,17.2251
食品業,gemini,ecommerce_site,82,4.2932
食品業,gemini,influencer_blogger,778,40.733
食品業,gemini,news_media,602,31.5183
食品業,gemini,other_category,77,4.0314
食品業,gemini,social_media,30,1.5707
食品業,gemini,unknown,12,0.6283
