industry,intent_type,model_name,category,count,percentage
寵物業,推薦型,chatgpt,brand_site,33,11.828
寵物業,推薦型,chatgpt,ecommerce_site,52,18.638
寵物業,推薦型,chatgpt,influencer_blogger,100,35.8423
寵物業,推薦型,chatgpt,news_media,44,15.7706
寵物業,推薦型,chatgpt,other_category,48,17.2043
寵物業,推薦型,chatgpt,unknown,2,0.7168
寵物業,推薦型,gemini,brand_site,30,5.2817
寵物業,推薦型,gemini,ecommerce_site,104,18.3099
寵物業,推薦型,gemini,influencer_blogger,283,49.8239
寵物業,推薦型,gemini,news_media,73,12.8521
寵物業,推薦型,gemini,other_category,21,3.6972
寵物業,推薦型,gemini,social_media,57,10.0352
寵物業,比較型,chatgpt,brand_site,43,17.7686
寵物業,比較型,chatgpt,ecommerce_site,26,10.7438
寵物業,比較型,chatgpt,influencer_blogger,93,38.4298
寵物業,比較型,chatgpt,news_media,15,6.1983
寵物業,比較型,chatgpt,other_category,63,26.0331
寵物業,比較型,chatgpt,social_media,2,0.8264
寵物業,比較型,gemini,brand_site,57,9.1787
寵物業,比較型,gemini,ecommerce_site,90,14.4928
寵物業,比較型,gemini,influencer_blogger,291,46.8599
寵物業,比較型,gemini,news_media,43,6.9243
寵物業,比較型,gemini,other_category,113,18.1965
寵物業,比較型,gemini,social_media,27,4.3478
寵物業,知識型,chatgpt,brand_site,53,25.9804
寵物業,知識型,chatgpt,ecommerce_site,19,9.3137
寵物業,知識型,chatgpt,influencer_blogger,71,34.8039
寵物業,知識型,chatgpt,news_media,23,11.2745
寵物業,知識型,chatgpt,other_category,27,13.2353
寵物業,知識型,chatgpt,social_media,1,0.4902
寵物業,知識型,chatgpt,unknown,10,4.902
寵物業,知識型,gemini,brand_site,122,22.3853
寵物業,知識型,gemini,ecommerce_site,87,15.9633
寵物業,知識型,gemini,influencer_blogger,244,44.7706
寵物業,知識型,gemini,news_media,29,5.3211
寵物業,知識型,gemini,other_category,38,6.9725
寵物業,知識型,gemini,social_media,6,1.1009
寵物業,知識型,gemini,unknown,19,3.4862
搬家類,推薦型,chatgpt,brand_site,70,20.8955
搬家類,推薦型,chatgpt,ecommerce_site,1,0.2985
搬家類,推薦型,chatgpt,influencer_blogger,233,69.5522
搬家類,推薦型,chatgpt,news_media,21,6.2687
搬家類,推薦型,chatgpt,other_category,5,1.4925
搬家類,推薦型,chatgpt,social_media,5,1.4925
搬家類,推薦型,gemini,brand_site,67,10.9477
搬家類,推薦型,gemini,ecommerce_site,12,1.9608
搬家類,推薦型,gemini,influencer_blogger,465,75.9804
搬家類,推薦型,gemini,news_media,37,6.0458
搬家類,推薦型,gemini,other_category,13,2.1242
搬家類,推薦型,gemini,social_media,10,1.634
搬家類,推薦型,gemini,unknown,8,1.3072
搬家類,比較型,chatgpt,brand_site,80,34.0426
搬家類,比較型,chatgpt,ecommerce_site,2,0.8511
搬家類,比較型,chatgpt,influencer_blogger,132,56.1702
搬家類,比較型,chatgpt,news_media,7,2.9787
搬家類,比較型,chatgpt,other_category,9,3.8298
搬家類,比較型,chatgpt,social_media,1,0.4255
搬家類,比較型,chatgpt,unknown,4,1.7021
搬家類,比較型,gemini,brand_site,113,18.5855
搬家類,比較型,gemini,ecommerce_site,10,1.6447
搬家類,比較型,gemini,influencer_blogger,431,70.8882
搬家類,比較型,gemini,news_media,27,4.4408
搬家類,比較型,gemini,other_category,12,1.9737
搬家類,比較型,gemini,social_media,2,0.3289
搬家類,比較型,gemini,unknown,13,2.1382
搬家類,知識型,chatgpt,brand_site,117,41.637
搬家類,知識型,chatgpt,ecommerce_site,3,1.0676
搬家類,知識型,chatgpt,influencer_blogger,102,36.2989
搬家類,知識型,chatgpt,news_media,12,4.2705
搬家類,知識型,chatgpt,other_category,23,8.1851
搬家類,知識型,chatgpt,unknown,24,8.5409
搬家類,知識型,gemini,brand_site,180,28.169
搬家類,知識型,gemini,ecommerce_site,3,0.4695
搬家類,知識型,gemini,influencer_blogger,382,59.7809
搬家類,知識型,gemini,news_media,18,2.8169
搬家類,知識型,gemini,other_category,29,4.5383
搬家類,知識型,gemini,social_media,5,0.7825
搬家類,知識型,gemini,unknown,22,3.4429
服裝類,推薦型,chatgpt,brand_site,26,9.2199
服裝類,推薦型,chatgpt,ecommerce_site,27,9.5745
服裝類,推薦型,chatgpt,influencer_blogger,132,46.8085
服裝類,推薦型,chatgpt,news_media,73,25.8865
服裝類,推薦型,chatgpt,other_category,22,7.8014
服裝類,推薦型,chatgpt,social_media,2,0.7092
服裝類,推薦型,gemini,brand_site,28,4.7863
服裝類,推薦型,gemini,ecommerce_site,94,16.0684
服裝類,推薦型,gemini,influencer_blogger,276,47.1795
服裝類,推薦型,gemini,news_media,113,19.3162
服裝類,推薦型,gemini,other_category,34,5.812
服裝類,推薦型,gemini,social_media,40,6.8376
服裝類,比較型,chatgpt,brand_site,17,9.4972
服裝類,比較型,chatgpt,ecommerce_site,13,7.2626
服裝類,比較型,chatgpt,influencer_blogger,57,31.8436
服裝類,比較型,chatgpt,news_media,67,37.4302
服裝類,比較型,chatgpt,other_category,23,12.8492
服裝類,比較型,chatgpt,social_media,2,1.1173
服裝類,比較型,gemini,brand_site,28,4.2105
服裝類,比較型,gemini,ecommerce_site,181,27.218
服裝類,比較型,gemini,influencer_blogger,285,42.8571
服裝類,比較型,gemini,news_media,82,12.3308
服裝類,比較型,gemini,other_category,37,5.5639
服裝類,比較型,gemini,social_media,52,7.8195
服裝類,知識型,chatgpt,brand_site,26,16.1491
服裝類,知識型,chatgpt,ecommerce_site,22,13.6646
服裝類,知識型,chatgpt,influencer_blogger,44,27.3292
服裝類,知識型,chatgpt,news_media,36,22.3602
服裝類,知識型,chatgpt,other_category,25,15.528
服裝類,知識型,chatgpt,unknown,8,4.9689
服裝類,知識型,gemini,brand_site,49,8.1531
服裝類,知識型,gemini,ecommerce_site,113,18.802
服裝類,知識型,gemini,influencer_blogger,227,37.7704
服裝類,知識型,gemini,news_media,97,16.1398
服裝類,知識型,gemini,other_category,76,12.6456
服裝類,知識型,gemini,social_media,12,1.9967
服裝類,知識型,gemini,unknown,27,4.4925
法律類,推薦型,chatgpt,brand_site,163,60.3704
法律類,推薦型,chatgpt,influencer_blogger,87,32.2222
法律類,推薦型,chatgpt,news_media,14,5.1852
法律類,推薦型,chatgpt,other_category,6,2.2222
法律類,推薦型,gemini,brand_site,299,52.2727
法律類,推薦型,gemini,influencer_blogger,150,26.2238
法律類,推薦型,gemini,news_media,12,2.0979
法律類,推薦型,gemini,other_category,4,0.6993
法律類,推薦型,gemini,social_media,17,2.972
法律類,推薦型,gemini,unknown,90,15.7343
法律類,比較型,chatgpt,brand_site,60,38.961
法律類,比較型,chatgpt,influencer_blogger,85,55.1948
法律類,比較型,chatgpt,news_media,8,5.1948
法律類,比較型,chatgpt,other_category,1,0.6494
法律類,比較型,gemini,brand_site,340,54.7504
法律類,比較型,gemini,ecommerce_site,3,0.4831
法律類,比較型,gemini,influencer_blogger,141,22.7053
法律類,比較型,gemini,news_media,25,4.0258
法律類,比較型,gemini,other_category,1,0.161
法律類,比較型,gemini,social_media,9,1.4493
法律類,比較型,gemini,unknown,102,16.4251
法律類,知識型,chatgpt,brand_site,98,40.4959
法律類,知識型,chatgpt,influencer_blogger,101,41.7355
法律類,知識型,chatgpt,news_media,7,2.8926
法律類,知識型,chatgpt,other_category,1,0.4132
法律類,知識型,chatgpt,unknown,35,14.4628
法律類,知識型,gemini,brand_site,380,50.8701
法律類,知識型,gemini,ecommerce_site,10,1.3387
法律類,知識型,gemini,influencer_blogger,192,25.7028
法律類,知識型,gemini,news_media,41,5.4886
法律類,知識型,gemini,other_category,7,0.9371
法律類,知識型,gemini,unknown,117,15.6627
科技類,推薦型,chatgpt,brand_site,14,6.2222
科技類,推薦型,chatgpt,ecommerce_site,2,0.8889
科技類,推薦型,chatgpt,influencer_blogger,125,55.5556
科技類,推薦型,chatgpt,news_media,83,36.8889
科技類,推薦型,chatgpt,other_category,1,0.4444
科技類,推薦型,gemini,brand_site,77,15.3386
科技類,推薦型,gemini,ecommerce_site,57,11.3546
科技類,推薦型,gemini,influencer_blogger,226,45.0199
科技類,推薦型,gemini,news_media,83,16.5339
科技類,推薦型,gemini,other_category,2,0.3984
科技類,推薦型,gemini,social_media,57,11.3546
科技類,比較型,chatgpt,brand_site,28,11.5226
科技類,比較型,chatgpt,ecommerce_site,3,1.2346
科技類,比較型,chatgpt,influencer_blogger,160,65.8436
科技類,比較型,chatgpt,news_media,39,16.0494
科技類,比較型,chatgpt,other_category,13,5.3498
科技類,比較型,gemini,brand_site,60,12.959
科技類,比較型,gemini,ecommerce_site,46,9.9352
科技類,比較型,gemini,influencer_blogger,214,46.2203
科技類,比較型,gemini,news_media,95,20.5184
科技類,比較型,gemini,other_category,27,5.8315
科技類,比較型,gemini,social_media,21,4.5356
科技類,知識型,chatgpt,brand_site,37,13.6029
科技類,知識型,chatgpt,ecommerce_site,8,2.9412
科技類,知識型,chatgpt,influencer_blogger,159,58.4559
科技類,知識型,chatgpt,news_media,56,20.5882
科技類,知識型,chatgpt,other_category,10,3.6765
科技類,知識型,chatgpt,social_media,2,0.7353
科技類,知識型,gemini,brand_site,102,21.519
科技類,知識型,gemini,ecommerce_site,71,14.9789
科技類,知識型,gemini,influencer_blogger,150,31.6456
科技類,知識型,gemini,news_media,94,19.8312
科技類,知識型,gemini,other_category,28,5.9072
科技類,知識型,gemini,social_media,29,6.1181
美妝業,推薦型,chatgpt,brand_site,55,21.7391
美妝業,推薦型,chatgpt,ecommerce_site,5,1.9763
美妝業,推薦型,chatgpt,influencer_blogger,80,31.6206
美妝業,推薦型,chatgpt,news_media,105,41.502
美妝業,推薦型,chatgpt,other_category,7,2.7668
美妝業,推薦型,chatgpt,social_media,1,0.3953
美妝業,推薦型,gemini,brand_site,72,10.3746
美妝業,推薦型,gemini,ecommerce_site,60,8.6455
美妝業,推薦型,gemini,influencer_blogger,143,20.6052
美妝業,推薦型,gemini,news_media,371,53.4582
美妝業,推薦型,gemini,other_category,5,0.7205
美妝業,推薦型,gemini,social_media,43,6.196
美妝業,比較型,chatgpt,brand_site,37,19.171
美妝業,比較型,chatgpt,ecommerce_site,7,3.6269
美妝業,比較型,chatgpt,influencer_blogger,49,25.3886
美妝業,比較型,chatgpt,news_media,80,41.4508
美妝業,比較型,chatgpt,other_category,7,3.6269
美妝業,比較型,chatgpt,social_media,1,0.5181
美妝業,比較型,chatgpt,unknown,12,6.2176
美妝業,比較型,gemini,brand_site,232,33.1903
美妝業,比較型,gemini,ecommerce_site,62,8.8698
美妝業,比較型,gemini,influencer_blogger,117,16.7382
美妝業,比較型,gemini,news_media,186,26.6094
美妝業,比較型,gemini,other_category,28,4.0057
美妝業,比較型,gemini,social_media,20,2.8612
美妝業,比較型,gemini,unknown,54,7.7253
美妝業,知識型,chatgpt,brand_site,53,27.4611
美妝業,知識型,chatgpt,ecommerce_site,8,4.1451
美妝業,知識型,chatgpt,influencer_blogger,40,20.7254
美妝業,知識型,chatgpt,news_media,29,15.0259
美妝業,知識型,chatgpt,other_category,32,16.5803
美妝業,知識型,chatgpt,unknown,31,16.0622
美妝業,知識型,gemini,brand_site,229,33.7261
美妝業,知識型,gemini,ecommerce_site,69,10.162
美妝業,知識型,gemini,influencer_blogger,110,16.2003
美妝業,知識型,gemini,news_media,82,12.0766
美妝業,知識型,gemini,other_category,51,7.511
美妝業,知識型,gemini,social_media,12,1.7673
美妝業,知識型,gemini,unknown,126,18.5567
行銷類,推薦型,chatgpt,brand_site,171,47.2376
行銷類,推薦型,chatgpt,ecommerce_site,1,0.2762
行銷類,推薦型,chatgpt,influencer_blogger,109,30.1105
行銷類,推薦型,chatgpt,news_media,43,11.8785
行銷類,推薦型,chatgpt,other_category,18,4.9724
行銷類,推薦型,chatgpt,unknown,20,5.5249
行銷類,推薦型,gemini,brand_site,254,47.037
行銷類,推薦型,gemini,ecommerce_site,2,0.3704
行銷類,推薦型,gemini,influencer_blogger,249,46.1111
行銷類,推薦型,gemini,news_media,24,4.4444
行銷類,推薦型,gemini,other_category,1,0.1852
行銷類,推薦型,gemini,social_media,4,0.7407
行銷類,推薦型,gemini,unknown,6,1.1111
行銷類,比較型,chatgpt,brand_site,85,50.5952
行銷類,比較型,chatgpt,influencer_blogger,29,17.2619
行銷類,比較型,chatgpt,news_media,14,8.3333
行銷類,比較型,chatgpt,social_media,1,0.5952
行銷類,比較型,chatgpt,unknown,39,23.2143
行銷類,比較型,gemini,brand_site,239,41.4931
行銷類,比較型,gemini,ecommerce_site,21,3.6458
行銷類,比較型,gemini,influencer_blogger,236,40.9722
行銷類,比較型,gemini,news_media,15,2.6042
行銷類,比較型,gemini,other_category,5,0.8681
行銷類,比較型,gemini,social_media,12,2.0833
行銷類,比較型,gemini,unknown,48,8.3333
行銷類,知識型,chatgpt,brand_site,137,60.0877
行銷類,知識型,chatgpt,ecommerce_site,1,0.4386
行銷類,知識型,chatgpt,influencer_blogger,34,14.9123
行銷類,知識型,chatgpt,news_media,30,13.1579
行銷類,知識型,chatgpt,other_category,3,1.3158
行銷類,知識型,chatgpt,unknown,23,10.0877
行銷類,知識型,gemini,brand_site,328,64.1879
行銷類,知識型,gemini,ecommerce_site,3,0.5871
行銷類,知識型,gemini,influencer_blogger,118,23.092
行銷類,知識型,gemini,news_media,19,3.7182
行銷類,知識型,gemini,other_category,8,1.5656
行銷類,知識型,gemini,social_media,8,1.5656
行銷類,知識型,gemini,unknown,27,5.2838
金融類,推薦型,chatgpt,brand_site,26,10.4
金融類,推薦型,chatgpt,ecommerce_site,6,2.4
金融類,推薦型,chatgpt,influencer_blogger,139,55.6
