industry,model_name,intent_type,mention_status,run_count,citation_count,avg_citations_per_run,category,category_label,category_count,category_share_pct
科技類,chatgpt,推薦型,有品牌提及,54,225,4.17,brand_site,品牌 / 官方型來源,6,2.7
科技類,chatgpt,推薦型,有品牌提及,54,225,4.17,influencer_blogger,評測 / 部落格 / KOL,99,44.0
科技類,chatgpt,推薦型,有品牌提及,54,225,4.17,news_media,新聞媒體,85,37.8
科技類,chatgpt,推薦型,有品牌提及,54,225,4.17,social_media,社群媒體,8,3.6
科技類,chatgpt,推薦型,有品牌提及,54,225,4.17,ecommerce_site,電商 / 平台,10,4.4
科技類,chatgpt,推薦型,有品牌提及,54,225,4.17,other_category,其他來源,17,7.6
科技類,chatgpt,推薦型,有品牌提及,54,225,4.17,unknown,未知來源,0,0.0
科技類,chatgpt,比較型,有品牌提及,40,190,4.75,brand_site,品牌 / 官方型來源,20,10.5
科技類,chatgpt,比較型,有品牌提及,40,190,4.75,influencer_blogger,評測 / 部落格 / KOL,117,61.6
科技類,chatgpt,比較型,有品牌提及,40,190,4.75,news_media,新聞媒體,42,22.1
科技類,chatgpt,比較型,有品牌提及,40,190,4.75,social_media,社群媒體,2,1.1
科技類,chatgpt,比較型,有品牌提及,40,190,4.75,ecommerce_site,電商 / 平台,2,1.1
科技類,chatgpt,比較型,有品牌提及,40,190,4.75,other_category,其他來源,7,3.7
科技類,chatgpt,比較型,有品牌提及,40,190,4.75,unknown,未知來源,0,0.0
科技類,chatgpt,比較型,無品牌提及,14,53,3.79,brand_site,品牌 / 官方型來源,15,28.3
科技類,chatgpt,比較型,無品牌提及,14,53,3.79,influencer_blogger,評測 / 部落格 / KOL,29,54.7
科技類,chatgpt,比較型,無品牌提及,14,53,3.79,news_media,新聞媒體,6,11.3
科技類,chatgpt,比較型,無品牌提及,14,53,3.79,social_media,社群媒體,0,0.0
科技類,chatgpt,比較型,無品牌提及,14,53,3.79,ecommerce_site,電商 / 平台,0,0.0
科技類,chatgpt,比較型,無品牌提及,14,53,3.79,other_category,其他來源,3,5.7
科技類,chatgpt,比較型,無品牌提及,14,53,3.79,unknown,未知來源,0,0.0
科技類,chatgpt,知識型,有品牌提及,11,60,5.45,brand_site,品牌 / 官方型來源,7,11.7
科技類,chatgpt,知識型,有品牌提及,11,60,5.45,influencer_blogger,評測 / 部落格 / KOL,28,46.7
科技類,chatgpt,知識型,有品牌提及,11,60,5.45,news_media,新聞媒體,10,16.7
科技類,chatgpt,知識型,有品牌提及,11,60,5.45,social_media,社群媒體,2,3.3
科技類,chatgpt,知識型,有品牌提及,11,60,5.45,ecommerce_site,電商 / 平台,9,15.0
科技類,chatgpt,知識型,有品牌提及,11,60,5.45,other_category,其他來源,4,6.7
科技類,chatgpt,知識型,有品牌提及,11,60,5.45,unknown,未知來源,0,0.0
科技類,chatgpt,知識型,無品牌提及,43,212,4.93,brand_site,品牌 / 官方型來源,31,14.6
科技類,chatgpt,知識型,無品牌提及,43,212,4.93,influencer_blogger,評測 / 部落格 / KOL,94,44.3
科技類,chatgpt,知識型,無品牌提及,43,212,4.93,news_media,新聞媒體,45,21.2
科技類,chatgpt,知識型,無品牌提及,43,212,4.93,social_media,社群媒體,12,5.7
科技類,chatgpt,知識型,無品牌提及,43,212,4.93,ecommerce_site,電商 / 平台,18,8.5
科技類,chatgpt,知識型,無品牌提及,43,212,4.93,other_category,其他來源,12,5.7
科技類,chatgpt,知識型,無品牌提及,43,212,4.93,unknown,未知來源,0,0.0
科技類,gemini,推薦型,有品牌提及,54,502,9.3,brand_site,品牌 / 官方型來源,90,17.9
科技類,gemini,推薦型,有品牌提及,54,502,9.3,influencer_blogger,評測 / 部落格 / KOL,138,27.5
科技類,gemini,推薦型,有品牌提及,54,502,9.3,news_media,新聞媒體,100,19.9
科技類,gemini,推薦型,有品牌提及,54,502,9.3,social_media,社群媒體,125,24.9
科技類,gemini,推薦型,有品牌提及,54,502,9.3,ecommerce_site,電商 / 平台,49,9.8
科技類,gemini,推薦型,有品牌提及,54,502,9.3,other_category,其他來源,0,0.0
科技類,gemini,推薦型,有品牌提及,54,502,9.3,unknown,未知來源,0,0.0
科技類,gemini,比較型,有品牌提及,43,349,8.12,brand_site,品牌 / 官方型來源,76,21.8
科技類,gemini,比較型,有品牌提及,43,349,8.12,influencer_blogger,評測 / 部落格 / KOL,93,26.6
科技類,gemini,比較型,有品牌提及,43,349,8.12,news_media,新聞媒體,80,22.9
科技類,gemini,比較型,有品牌提及,43,349,8.12,social_media,社群媒體,58,16.6
科技類,gemini,比較型,有品牌提及,43,349,8.12,ecommerce_site,電商 / 平台,41,11.7
科技類,gemini,比較型,有品牌提及,43,349,8.12,other_category,其他來源,1,0.3
科技類,gemini,比較型,有品牌提及,43,349,8.12,unknown,未知來源,0,0.0
科技類,gemini,比較型,無品牌提及,11,114,10.36,brand_site,品牌 / 官方型來源,32,28.1
科技類,gemini,比較型,無品牌提及,11,114,10.36,influencer_blogger,評測 / 部落格 / KOL,28,24.6
科技類,gemini,比較型,無品牌提及,11,114,10.36,news_media,新聞媒體,25,21.9
科技類,gemini,比較型,無品牌提及,11,114,10.36,social_media,社群媒體,12,10.5
科技類,gemini,比較型,無品牌提及,11,114,10.36,ecommerce_site,電商 / 平台,17,14.9
科技類,gemini,比較型,無品牌提及,11,114,10.36,other_category,其他來源,0,0.0
科技類,gemini,比較型,無品牌提及,11,114,10.36,unknown,未知來源,0,0.0
科技類,gemini,知識型,有品牌提及,32,296,9.25,brand_site,品牌 / 官方型來源,81,27.4
科技類,gemini,知識型,有品牌提及,32,296,9.25,influencer_blogger,評測 / 部落格 / KOL,65,22.0
科技類,gemini,知識型,有品牌提及,32,296,9.25,news_media,新聞媒體,70,23.6
科技類,gemini,知識型,有品牌提及,32,296,9.25,social_media,社群媒體,38,12.8
科技類,gemini,知識型,有品牌提及,32,296,9.25,ecommerce_site,電商 / 平台,41,13.9
科技類,gemini,知識型,有品牌提及,32,296,9.25,other_category,其他來源,1,0.3
科技類,gemini,知識型,有品牌提及,32,296,9.25,unknown,未知來源,0,0.0
科技類,gemini,知識型,無品牌提及,22,178,8.09,brand_site,品牌 / 官方型來源,86,48.3
科技類,gemini,知識型,無品牌提及,22,178,8.09,influencer_blogger,評測 / 部落格 / KOL,19,10.7
科技類,gemini,知識型,無品牌提及,22,178,8.09,news_media,新聞媒體,20,11.2
科技類,gemini,知識型,無品牌提及,22,178,8.09,social_media,社群媒體,24,13.5
科技類,gemini,知識型,無品牌提及,22,178,8.09,ecommerce_site,電商 / 平台,25,14.0
科技類,gemini,知識型,無品牌提及,22,178,8.09,other_category,其他來源,4,2.2
科技類,gemini,知識型,無品牌提及,22,178,8.09,unknown,未知來源,0,0.0
法律類,chatgpt,推薦型,有品牌提及,43,231,5.37,brand_site,品牌 / 官方型來源,194,84.0
法律類,chatgpt,推薦型,有品牌提及,43,231,5.37,influencer_blogger,評測 / 部落格 / KOL,17,7.4
法律類,chatgpt,推薦型,有品牌提及,43,231,5.37,news_media,新聞媒體,15,6.5
法律類,chatgpt,推薦型,有品牌提及,43,231,5.37,social_media,社群媒體,1,0.4
法律類,chatgpt,推薦型,有品牌提及,43,231,5.37,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,推薦型,有品牌提及,43,231,5.37,other_category,其他來源,4,1.7
法律類,chatgpt,推薦型,有品牌提及,43,231,5.37,unknown,未知來源,0,0.0
法律類,chatgpt,推薦型,無品牌提及,11,39,3.55,brand_site,品牌 / 官方型來源,32,82.1
法律類,chatgpt,推薦型,無品牌提及,11,39,3.55,influencer_blogger,評測 / 部落格 / KOL,4,10.3
法律類,chatgpt,推薦型,無品牌提及,11,39,3.55,news_media,新聞媒體,1,2.6
法律類,chatgpt,推薦型,無品牌提及,11,39,3.55,social_media,社群媒體,0,0.0
法律類,chatgpt,推薦型,無品牌提及,11,39,3.55,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,推薦型,無品牌提及,11,39,3.55,other_category,其他來源,2,5.1
法律類,chatgpt,推薦型,無品牌提及,11,39,3.55,unknown,未知來源,0,0.0
法律類,chatgpt,比較型,有品牌提及,21,58,2.76,brand_site,品牌 / 官方型來源,24,41.4
法律類,chatgpt,比較型,有品牌提及,21,58,2.76,influencer_blogger,評測 / 部落格 / KOL,23,39.7
法律類,chatgpt,比較型,有品牌提及,21,58,2.76,news_media,新聞媒體,8,13.8
法律類,chatgpt,比較型,有品牌提及,21,58,2.76,social_media,社群媒體,0,0.0
法律類,chatgpt,比較型,有品牌提及,21,58,2.76,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,比較型,有品牌提及,21,58,2.76,other_category,其他來源,3,5.2
法律類,chatgpt,比較型,有品牌提及,21,58,2.76,unknown,未知來源,0,0.0
法律類,chatgpt,比較型,無品牌提及,33,96,2.91,brand_site,品牌 / 官方型來源,39,40.6
法律類,chatgpt,比較型,無品牌提及,33,96,2.91,influencer_blogger,評測 / 部落格 / KOL,43,44.8
法律類,chatgpt,比較型,無品牌提及,33,96,2.91,news_media,新聞媒體,10,10.4
法律類,chatgpt,比較型,無品牌提及,33,96,2.91,social_media,社群媒體,0,0.0
法律類,chatgpt,比較型,無品牌提及,33,96,2.91,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,比較型,無品牌提及,33,96,2.91,other_category,其他來源,4,4.2
法律類,chatgpt,比較型,無品牌提及,33,96,2.91,unknown,未知來源,0,0.0
法律類,chatgpt,知識型,有品牌提及,15,72,4.8,brand_site,品牌 / 官方型來源,32,44.4
法律類,chatgpt,知識型,有品牌提及,15,72,4.8,influencer_blogger,評測 / 部落格 / KOL,23,31.9
法律類,chatgpt,知識型,有品牌提及,15,72,4.8,news_media,新聞媒體,2,2.8
法律類,chatgpt,知識型,有品牌提及,15,72,4.8,social_media,社群媒體,0,0.0
法律類,chatgpt,知識型,有品牌提及,15,72,4.8,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,知識型,有品牌提及,15,72,4.8,other_category,其他來源,15,20.8
法律類,chatgpt,知識型,有品牌提及,15,72,4.8,unknown,未知來源,0,0.0
法律類,chatgpt,知識型,無品牌提及,39,170,4.36,brand_site,品牌 / 官方型來源,92,54.1
法律類,chatgpt,知識型,無品牌提及,39,170,4.36,influencer_blogger,評測 / 部落格 / KOL,57,33.5
法律類,chatgpt,知識型,無品牌提及,39,170,4.36,news_media,新聞媒體,6,3.5
法律類,chatgpt,知識型,無品牌提及,39,170,4.36,social_media,社群媒體,0,0.0
法律類,chatgpt,知識型,無品牌提及,39,170,4.36,ecommerce_site,電商 / 平台,0,0.0
法律類,chatgpt,知識型,無品牌提及,39,170,4.36,other_category,其他來源,15,8.8
法律類,chatgpt,知識型,無品牌提及,39,170,4.36,unknown,未知來源,0,0.0
法律類,gemini,推薦型,有品牌提及,52,551,10.6,brand_site,品牌 / 官方型來源,483,87.7
法律類,gemini,推薦型,有品牌提及,52,551,10.6,influencer_blogger,評測 / 部落格 / KOL,17,3.1
法律類,gemini,推薦型,有品牌提及,52,551,10.6,news_media,新聞媒體,14,2.5
法律類,gemini,推薦型,有品牌提及,52,551,10.6,social_media,社群媒體,24,4.4
法律類,gemini,推薦型,有品牌提及,52,551,10.6,ecommerce_site,電商 / 平台,0,0.0
法律類,gemini,推薦型,有品牌提及,52,551,10.6,other_category,其他來源,13,2.4
法律類,gemini,推薦型,有品牌提及,52,551,10.6,unknown,未知來源,0,0.0
法律類,gemini,推薦型,無品牌提及,2,21,10.5,brand_site,品牌 / 官方型來源,14,66.7
法律類,gemini,推薦型,無品牌提及,2,21,10.5,influencer_blogger,評測 / 部落格 / KOL,2,9.5
法律類,gemini,推薦型,無品牌提及,2,21,10.5,news_media,新聞媒體,1,4.8
法律類,gemini,推薦型,無品牌提及,2,21,10.5,social_media,社群媒體,3,14.3
法律類,gemini,推薦型,無品牌提及,2,21,10.5,ecommerce_site,電商 / 平台,0,0.0
法律類,gemini,推薦型,無品牌提及,2,21,10.5,other_category,其他來源,1,4.8
法律類,gemini,推薦型,無品牌提及,2,21,10.5,unknown,未知來源,0,0.0
法律類,gemini,比較型,有品牌提及,25,299,11.96,brand_site,品牌 / 官方型來源,240,80.3
法律類,gemini,比較型,有品牌提及,25,299,11.96,influencer_blogger,評測 / 部落格 / KOL,17,5.7
法律類,gemini,比較型,有品牌提及,25,299,11.96,news_media,新聞媒體,14,4.7
法律類,gemini,比較型,有品牌提及,25,299,11.96,social_media,社群媒體,18,6.0
法律類,gemini,比較型,有品牌提及,25,299,11.96,ecommerce_site,電商 / 平台,0,0.0
法律類,gemini,比較型,有品牌提及,25,299,11.96,other_category,其他來源,10,3.3
法律類,gemini,比較型,有品牌提及,25,299,11.96,unknown,未知來源,0,0.0
法律類,gemini,比較型,無品牌提及,29,322,11.1,brand_site,品牌 / 官方型來源,264,82.0
法律類,gemini,比較型,無品牌提及,29,322,11.1,influencer_blogger,評測 / 部落格 / KOL,25,7.8
