industry,model_name,avg_response_chars,std_response_chars,median_response_chars,avg_mention_count,avg_citation_count,avg_search_kw_count,avg_kw_cjk_ratio,avg_kw_eng_ratio,pct_kw_with_year_marker,pct_kw_with_question_word,avg_response_cjk_ratio,avg_response_eng_ratio,n
寵物業,chatgpt,1422.6358,360.1944,1506.5,3.5926,4.4753,0.9012,0.8817,0.0095,34.2466,8.9041,0.4354,0.2892,162
寵物業,gemini,1187.4012,153.233,1191.5,4.7778,10.7037,3.8519,0.6845,0.1873,31.7308,8.6538,0.7377,0.0585,162
搬家類,chatgpt,1443.537,260.7913,1458.0,2.4198,5.2531,0.9815,0.9188,0.0287,17.6101,30.8176,0.4594,0.2698,162
搬家類,gemini,1177.6975,123.2657,1178.5,4.7284,11.4753,4.0741,0.8013,0.0701,31.6667,6.9697,0.7819,0.022,162
服裝類,chatgpt,1302.3086,422.1033,1388.5,2.1173,3.8395,0.8086,0.8511,0.0721,29.0076,13.7405,0.4789,0.2709,162
服裝類,gemini,1162.8519,150.4875,1148.5,3.7901,11.4259,3.9506,0.6842,0.2118,26.5625,8.9062,0.7467,0.069,162
法律類,chatgpt,1377.716,263.2139,1381.5,1.3642,4.1111,0.9938,0.9969,0.001,0.6211,27.3292,0.5026,0.2322,162
法律類,gemini,1196.3025,103.5554,1190.5,2.1543,11.9753,4.1358,0.9091,0.0125,18.5075,7.1642,0.8162,0.006,162
科技類,chatgpt,1597.1296,314.8797,1580.5,2.8086,4.5679,0.9938,0.7358,0.0483,77.0186,0.0,0.4161,0.3082,162
科技類,gemini,1299.0556,170.5936,1295.5,4.0062,8.8827,4.1543,0.6682,0.1493,36.9985,5.7949,0.7111,0.0896,162
美妝業,chatgpt,1321.4259,346.0253,1296.0,2.821,3.9444,0.9321,0.7261,0.1529,38.4106,11.9205,0.4202,0.3044,162
美妝業,gemini,1142.7531,151.1777,1138.0,4.2469,12.7901,3.7963,0.6844,0.1703,35.122,9.5935,0.7209,0.0796,162
行銷類,chatgpt,1596.4596,401.0936,1629,3.8882,4.7081,1,0.5242,0.3869,31.677,21.118,0.4408,0.3116,161
行銷類,gemini,1349.0741,173.7498,1361.5,4.1728,10.0432,3.7778,0.4715,0.3756,36.4379,10.9477,0.7035,0.1333,162
金融類,chatgpt,1304.6173,405.2405,1380.5,2.8642,3.5802,0.8642,0.8118,0.0179,65.0,20.0,0.4708,0.2421,162
金融類,gemini,1249.1358,174.482,1255.0,7.8148,11.6358,4.1235,0.7133,0.0521,47.7545,5.6886,0.7107,0.0623,162
電腦類,chatgpt,1485.8447,390.3558,1517,4.1988,3.764,0.882,0.5307,0.2691,66.9014,15.493,0.3853,0.337,161
電腦類,gemini,1392.8765,233.3168,1409.0,5.821,9.4321,4.2099,0.3723,0.4113,51.3196,15.1026,0.5795,0.1891,162
食品業,chatgpt,1179.236,374.4735,1208,3.764,3.9068,0.9006,0.8727,0.0,40.6897,6.2069,0.4541,0.2468,161
食品業,gemini,1051.7407,205.7416,1070.5,6.7284,11.7901,4.4753,0.8462,0.0034,28.8276,0.8276,0.7823,0.0094,162
