industry,intent_type,model_name,avg_response_chars,std_response_chars,median_response_chars,avg_mention_count,avg_citation_count,avg_search_kw_count,avg_kw_cjk_ratio,avg_kw_eng_ratio,pct_kw_with_year_marker,pct_kw_with_question_word,avg_response_cjk_ratio,avg_response_eng_ratio,n
寵物業,推薦型,chatgpt,1554.3519,192.6536,1555.5,7.5926,5.1667,1,0.7652,0.0132,68.5185,0.0,0.4083,0.3461,54
寵物業,推薦型,gemini,1209.7407,86.0055,1205.5,7.4444,10.5185,3.7778,0.6077,0.172,53.9216,5.8824,0.7599,0.07,54
寵物業,比較型,chatgpt,1511.5185,351.9865,1592.5,3.037,4.4815,0.8889,0.9044,0.0139,27.0833,10.4167,0.4525,0.2615,54
寵物業,比較型,gemini,1276.7222,158.963,1294.5,5.537,11.5,3.9815,0.7212,0.1589,29.7674,7.4419,0.7366,0.0507,54
寵物業,知識型,chatgpt,1202.037,397.2384,1172.5,0.1481,3.7778,0.8148,1.0,0.0,0.0,18.1818,0.4455,0.2601,54
寵物業,知識型,gemini,1075.7407,131.6071,1064.5,1.3519,10.0926,3.7963,0.7226,0.2322,11.7073,12.6829,0.7166,0.0548,54
搬家類,推薦型,chatgpt,1470.6111,211.92,1469.0,6.6296,6.2037,1,0.8548,0.0085,44.4444,0.0,0.4245,0.2939,54
搬家類,推薦型,gemini,1177.8148,87.2425,1189.5,11.3148,11.3333,4.5,0.7151,0.1124,45.2675,6.9959,0.7692,0.044,54
搬家類,比較型,chatgpt,1345.1111,257.2917,1371.5,0.3519,4.3519,1,0.947,0.0352,7.4074,55.5556,0.5016,0.2277,54
搬家類,比較型,gemini,1195.9815,143.7907,1214.0,2.2037,11.2593,3.8519,0.8877,0.0213,20.1923,12.5,0.7777,0.0137,54
搬家類,知識型,chatgpt,1514.8889,282.293,1541.5,0.2778,5.2037,0.9444,0.9568,0.0432,0.0,37.2549,0.4522,0.288,54
搬家類,知識型,gemini,1159.2963,131.088,1154.5,0.6667,11.8333,3.8704,0.8154,0.0696,27.2727,1.4354,0.7989,0.0084,54
服裝類,推薦型,chatgpt,1547.7778,214.3313,1523.0,2.6667,5.2222,1,0.7699,0.0751,59.2593,1.8519,0.4141,0.3512,54
服裝類,推薦型,gemini,1202.9074,112.5637,1201.0,6.2778,10.8333,4,0.614,0.1903,50.9259,3.7037,0.7383,0.0854,54
服裝類,比較型,chatgpt,1173.3519,508.3381,1029.5,3.0926,3.3148,0.7778,0.9171,0.0427,14.2857,2.381,0.4944,0.2395,54
服裝類,比較型,gemini,1160.5,188.0426,1118.0,4.2407,12.3148,4.0926,0.6934,0.2423,14.9321,3.1674,0.744,0.0691,54
服裝類,知識型,chatgpt,1185.7963,380.4269,1260.5,0.5926,2.9815,0.6481,0.8972,0.1028,0.0,45.7143,0.5282,0.2219,54
服裝類,知識型,gemini,1125.1481,132.9461,1100.5,0.8519,11.1296,3.7593,0.7489,0.2014,13.3005,20.6897,0.7577,0.0526,54
法律類,推薦型,chatgpt,1419.2963,218.3118,1412.5,3.1852,5,1,0.9938,0.0,1.8519,22.2222,0.5102,0.2358,54
法律類,推薦型,gemini,1182.6111,96.5609,1177.5,4.9259,10.5926,4.1481,0.9087,0.0273,13.8393,9.375,0.823,0.0126,54
法律類,比較型,chatgpt,1247,262.2546,1275.5,0.4815,2.8519,0.9815,0.9969,0.0031,0.0,16.9811,0.5435,0.1808,54
法律類,比較型,gemini,1228.7778,97.441,1227.0,0.7407,11.5,4.2037,0.9233,0.0089,14.978,7.489,0.7903,0.0038,54
