date,model_name,intent_type,avg_response_chars,avg_citation_count,avg_mention_count,avg_search_kw_count,n
2026-04-27,chatgpt,推薦型,1550.7444,5.1222,5.6333,1,90
2026-04-27,chatgpt,比較型,1371.5556,3.9222,1.7333,0.9111,90
2026-04-27,chatgpt,知識型,1270.5667,3.7222,0.4667,0.8444,90
2026-04-27,gemini,推薦型,1266.6667,9.7667,8.2667,4.3111,90
2026-04-27,gemini,比較型,1304.2444,10.4889,4.2333,4.1222,90
2026-04-27,gemini,知識型,1133.4,9.9222,1.3778,3.7778,90
2026-04-28,chatgpt,推薦型,1510.8556,4.9778,6.0667,1,90
2026-04-28,chatgpt,比較型,1388.8444,3.7556,2.0111,0.9667,90
2026-04-28,chatgpt,知識型,1277.8,3.7889,0.4,0.8889,90
2026-04-28,gemini,推薦型,1261.1222,11.3556,7.8111,4.1889,90
2026-04-28,gemini,比較型,1310.8778,11.0889,4.3667,4.1889,90
2026-04-28,gemini,知識型,1139.2667,10.7444,1.3889,3.7111,90
2026-04-29,chatgpt,推薦型,1530.6333,5.0889,6.1444,0.9889,90
2026-04-29,chatgpt,比較型,1365.0889,3.6889,1.9333,0.9111,90
2026-04-29,chatgpt,知識型,1243.8222,3.6778,0.4111,0.8444,90
2026-04-29,gemini,推薦型,1259.4333,10.7111,8.5667,4.2778,90
2026-04-29,gemini,比較型,1317.8222,11.5444,4.6111,4.2111,90
2026-04-29,gemini,知識型,1138.5667,10.4222,1.6111,3.6778,90
2026-04-30,chatgpt,推薦型,1586.6111,5.3222,6.0222,1,90
2026-04-30,chatgpt,比較型,1418.6,3.7889,2.5111,0.8778,90
2026-04-30,chatgpt,知識型,1288.7667,3.7667,0.9333,0.8444,90
2026-04-30,gemini,推薦型,1226.8333,11.5667,7.5778,4.4333,90
2026-04-30,gemini,比較型,1275.9,11.8,5.0333,4.0778,90
2026-04-30,gemini,知識型,1118.9222,10.7,2.6444,3.8556,90
2026-05-01,chatgpt,推薦型,1537.9326,5,6.1573,1,89
2026-05-01,chatgpt,比較型,1396.4333,3.6111,2.6556,0.8889,90
2026-05-01,chatgpt,知識型,1302.191,3.7416,0.8427,0.8427,89
2026-05-01,gemini,推薦型,1216.5444,11.0111,7.2556,4.2111,90
2026-05-01,gemini,比較型,1258.5778,11.4444,5.1556,4.1111,90
2026-05-01,gemini,知識型,1115.3778,10.8778,2.6222,3.7667,90
2026-05-02,chatgpt,推薦型,1550.4222,5.3667,6.2333,1,90
2026-05-02,chatgpt,比較型,1410.1348,3.809,2.4719,0.9663,89
2026-05-02,chatgpt,知識型,1254.5111,3.7222,1.0556,0.8889,90
2026-05-02,gemini,推薦型,1236.4444,11.9444,7.2889,4.3,90
2026-05-02,gemini,比較型,1267.6889,12.0333,4.5111,4.0222,90
2026-05-02,gemini,知識型,1128.3111,10.8556,2.5111,3.7444,90
