industry,intent_type,avg_jaccard,std_jaccard,n_pairs
寵物業,推薦型,0.029,0.0444,18
寵物業,比較型,0.0458,0.0613,18
寵物業,知識型,0.0107,0.0336,18
搬家類,推薦型,0.0291,0.0418,18
搬家類,比較型,0.0252,0.0516,18
搬家類,知識型,0.0142,0.0348,18
服裝類,推薦型,0.004,0.0168,18
服裝類,比較型,0.0086,0.0257,18
服裝類,知識型,0.008,0.0233,18
法律類,推薦型,0.0436,0.0741,18
法律類,比較型,0.0368,0.065,18
法律類,知識型,0.0189,0.0378,18
科技類,推薦型,0.0,0.0,18
科技類,比較型,0.0242,0.0565,18
科技類,知識型,0.0069,0.0203,18
美妝業,推薦型,0.0107,0.0247,18
美妝業,比較型,0.0127,0.0301,18
美妝業,知識型,0.0068,0.0199,18
行銷類,推薦型,0.0416,0.0424,18
行銷類,比較型,0.008,0.0233,18
行銷類,知識型,0.0,0.0,18
金融類,推薦型,0.0174,0.0337,18
金融類,比較型,0.0051,0.0149,18
金融類,知識型,0.0142,0.0335,18
電腦類,推薦型,0.0288,0.0427,18
電腦類,比較型,0.0,0.0,18
電腦類,知識型,0.0043,0.0181,18
食品業,推薦型,0.0478,0.0676,18
食品業,比較型,0.0119,0.0291,18
食品業,知識型,0.0383,0.0574,18
