model_name,industry,intent_type,n,avg_paragraph_count,avg_header_count,avg_bullet_count,avg_numbered_item_count,avg_list_item_count,pct_has_conclusion,pct_条列型,pct_段落型,pct_混合型,avg_first_para_ratio,avg_bold_marker_count
chatgpt,寵物業,推薦型,54,28.0,8.204,33.574,0.389,33.963,0.0,57.4,0.0,42.6,0.044,26.167
chatgpt,寵物業,比較型,54,29.778,9.0,22.926,1.167,24.093,7.4,22.2,0.0,77.8,0.039,24.185
chatgpt,寵物業,知識型,54,25.741,6.87,17.704,0.704,18.407,14.8,3.7,1.9,94.4,0.047,18.389
chatgpt,搬家類,推薦型,54,26.222,8.259,29.481,0.37,29.852,1.9,51.9,0.0,48.1,0.043,22.444
chatgpt,搬家類,比較型,54,31.722,8.481,23.556,0.426,23.981,5.6,1.9,1.9,96.3,0.037,20.556
chatgpt,搬家類,知識型,54,31.111,10.185,31.722,0.444,32.167,3.7,46.3,0.0,53.7,0.039,17.315
chatgpt,服裝類,推薦型,54,27.481,6.833,28.611,0.0,28.611,1.9,37.0,0.0,63.0,0.04,22.574
chatgpt,服裝類,比較型,54,23.759,6.352,20.167,0.13,20.296,18.5,16.7,1.9,81.5,0.043,20.796
chatgpt,服裝類,知識型,54,27.63,7.463,22.815,0.648,23.463,5.6,11.1,0.0,88.9,0.045,19.296
chatgpt,法律類,推薦型,54,27.889,7.778,25.111,1.019,26.13,5.6,27.8,0.0,72.2,0.041,18.13
chatgpt,法律類,比較型,54,29.593,8.593,22.185,0.833,23.019,13.0,5.6,0.0,94.4,0.039,19.074
chatgpt,法律類,知識型,54,31.481,9.593,24.204,1.611,25.815,7.4,5.6,0.0,94.4,0.036,20.611
chatgpt,科技類,推薦型,54,31.889,10.019,34.537,0.0,34.537,1.9,38.9,0.0,61.1,0.04,26.685
chatgpt,科技類,比較型,54,30.759,9.185,26.481,0.333,26.815,5.6,11.1,0.0,88.9,0.035,28.111
chatgpt,科技類,知識型,54,28.204,7.352,23.093,0.389,23.481,7.4,16.7,0.0,83.3,0.035,18.796
chatgpt,美妝業,推薦型,54,25.0,8.167,29.167,0.0,29.167,5.6,61.1,0.0,38.9,0.037,22.815
chatgpt,美妝業,比較型,54,23.444,6.389,18.944,0.148,19.093,5.6,11.1,1.9,87.0,0.038,23.204
chatgpt,美妝業,知識型,54,24.87,7.037,18.852,0.278,19.13,5.6,7.4,0.0,92.6,0.037,19.833
chatgpt,行銷類,推薦型,53,31.283,10.566,34.038,0.151,34.189,0.0,41.5,0.0,58.5,0.048,25.736
chatgpt,行銷類,比較型,54,34.815,9.463,27.685,0.611,28.296,0.0,3.7,0.0,96.3,0.034,21.722
chatgpt,行銷類,知識型,54,31.759,7.852,23.926,2.259,26.185,5.6,11.1,5.6,83.3,0.043,13.722
chatgpt,金融類,推薦型,54,30.056,8.63,24.667,0.111,24.778,7.4,13.0,0.0,87.0,0.054,22.722
chatgpt,金融類,比較型,54,26.926,7.093,19.259,0.481,19.741,1.9,9.3,3.7,87.0,0.085,20.37
