brand_a,brand_b,cooccurrence_count
Dreame,Roborock,140
ASUS,Lenovo,125
ASUS,Acer,122
Roborock,Xiaomi,112
Acer,Lenovo,111
不二坊,不二糕餅,84
Dreame,Xiaomi,83
ASUS,HP,83
Roborock,iRobot,79
Biore,La Roche-Posay,79
Orijen,Royal Canin,77
AMD,Intel,74
台新,玉山,73
HP,Lenovo,73
ASUS,Apple,72
Acer,HP,72
台新,永豐,68
不二糕餅,香格禮坊,68
永豐,玉山,64
ECOVACS,Roborock,62
Apple,Lenovo,62
不二坊,小潘蛋糕坊,61
Dreame,iRobot,60
Ecovacs,Roborock,58
永豐,滙豐,58
康福搬家,超便宜搬家,58
ASUS,Intel,58
Dcard,PTT,57
滙豐,玉山,57
台新,滙豐,56
Farmina,Orijen,56
Acer,Apple,56
台新,國泰世華,55
台新,聯邦,55
Instinct,Orijen,55
不二糕餅,小潘蛋糕坊,52
ASUS,MSI,52
Dreame,ECOVACS,51
Intel,Lenovo,51
ASUS,Dell,51
不二坊,法朋烘焙甜點坊,49
不二坊,香格禮坊,49
不二坊,陳耀訓,49
國泰世華,玉山,48
不二糕餅,法朋烘焙甜點坊,48
一福堂,不二糕餅,48
Lenovo,MSI,48
Dreame,Ecovacs,47
Mobby,Orijen,47
Xiaomi,iRobot,46
Acer,Intel,46
ECOVACS,Xiaomi,45
LINE Pay,台新,45
巨力搬家,康福搬家,45
Acer,MSI,45
Eufy,Roborock,44
玉山,聯邦,44
永豐,聯邦,44
巨力搬家,超便宜搬家,44
不二坊,新口味食品行,44
Dell,Lenovo,44
不二糕餅,新口味食品行,43
國泰世華,永豐,42
將能數位行銷,集客數據行銷,42
崔媽媽基金會,康福搬家,42
Instinct,Royal Canin,42
國泰世華,滙豐,41
國泰世華,聯邦,41
Farmina,Royal Canin,41
不二坊,陳耀訓・麵包埠,41
一福堂,不二坊,41
LINE Pay,玉山,40
LINE Pay,永豐,40
awoo,集客數據行銷,40
Welly SEO,將能數位行銷,40
CeraVe,La Roche-Posay,40
Apple,Dell,40
Apple,HP,40
崔媽媽基金會,超便宜搬家,39
Roborock,TP-Link,38
awoo,將能數位行銷,38
Welly SEO,集客數據行銷,38
PTT,康福搬家,38
Acer,Dell,38
不二糕餅,陳耀訓,38
台新,富邦,37
滙豐,聯邦,37
天喜搬家,超便宜搬家,37
Acana,Orijen,37
一福堂,香格禮坊,37
Welly SEO,awoo,36
天喜搬家,康福搬家,36
PTT,超便宜搬家,36
Apple,Intel,36
富邦,玉山,35
崔媽媽基金會,巨力搬家,35
Dcard,超便宜搬家,35
Farmina,Mobby,35
Mobby,Royal Canin,35
Apple,Windows,35
