canonical_name,avg_pos,n_runs,pct_first
GU,0.0,42,100.0
HP,0.012,83,95.2
awoo,0.058,62,71.0
PTT,0.067,66,75.8
Eufy,0.07,45,77.8
AMD,0.076,75,60.0
LG,0.076,30,76.7
COS,0.091,38,36.8
HSBC,0.12,44,63.6
Tapo,0.134,34,64.7
將能數位,0.134,38,36.8
小米,0.137,39,66.7
MSI,0.151,52,28.8
Acana,0.161,39,30.8
康福搬家,0.163,79,30.4
零一行銷,0.167,51,13.7
台新,0.174,97,39.2
不二坊,0.179,134,41.8
Biore,0.191,115,61.7
鯊客科技,0.204,30,26.7
巨力搬家,0.231,57,12.3
Mobby,0.238,57,15.8
聯邦,0.238,61,27.9
蛋黃家,0.252,32,6.2
一福堂,0.256,63,15.9
Curél,0.257,30,26.7
玉山,0.261,89,18.0
怪獸部落,0.263,47,31.9
永豐,0.279,82,17.1
Dreame,0.283,141,32.6
金葡萄,0.288,37,16.2
滙豐,0.296,77,24.7
天喜搬家,0.309,42,2.4
ZARA,0.318,30,6.7
陳耀訓,0.322,66,16.7
理膚寶水,0.328,41,26.8
ASUS,0.331,146,11.6
貓茶町,0.331,39,0.0
PAMO,0.335,42,23.8
Hill's,0.34,37,5.4
戰國策集團,0.356,31,0.0
舊振南,0.357,34,5.9
Xiaomi,0.359,114,13.2
Orijen,0.361,118,2.5
富邦,0.382,44,4.5
Dell,0.403,51,2.0
Narwal,0.416,32,9.4
Acer,0.426,122,4.1
星展,0.429,41,9.8
LINE,0.436,58,17.2
不二糕餅,0.449,125,3.2
郭元益,0.45,30,6.7
iRobot,0.453,83,6.0
ALLIE,0.455,70,14.3
CeraVe,0.462,71,8.5
momo,0.468,30,13.3
Apple,0.55,122,13.9
集客數據行銷,0.554,54,0.0
Farmina,0.558,68,1.5
香格禮坊,0.561,71,0.0
Google,0.57,147,20.4
Anessa,0.575,30,13.3
ANESSA,0.584,36,8.3
UNIQLO,0.584,35,0.0
將能數位行銷,0.593,55,0.0
Harris,0.594,32,0.0
Intel,0.603,102,0.0
Dcard,0.622,62,0.0
Instinct,0.627,68,0.0
Mr. 啃,0.633,34,0.0
小潘蛋糕坊,0.656,76,0.0
陳允寶泉,0.66,38,0.0
MacBook,0.692,30,0.0
國泰世華,0.705,71,1.4
Ecovacs,0.707,58,0.0
ECOVACS,0.711,62,0.0
新口味食品行,0.728,49,0.0
超便宜搬家,0.731,71,0.0
TP-Link,0.742,42,0.0
Richart,0.781,41,2.4
Apple Pay,0.796,35,0.0
LINE Pay,0.8,82,1.2
LINE Bank,0.81,42,0.0
Windows,0.845,60,0.0
FirstMate,0.849,33,0.0
崔媽媽基金會,0.852,58,0.0
Wellness CORE,0.858,32,0.0
Lenovo,0.874,125,0.0
陳耀訓・麵包埠,0.875,48,0.0
Royal Canin,0.885,88,1.1
Welly SEO,0.894,60,0.0
La Roche-Posay,0.921,142,4.2
法朋烘焙甜點坊,0.944,59,0.0
Roborock,0.97,184,0.0
Lalamove,0.976,51,0.0
