industry,canonical_name,avg_pos,n_runs,pct_first
寵物業,Biore,0.0,12,100.0
寵物業,紐頓,0.083,12,50.0
寵物業,原點,0.105,12,33.3
寵物業,HALO,0.136,18,55.6
寵物業,ACANA,0.139,28,50.0
寵物業,NRC,0.141,10,70.0
寵物業,Ziwi,0.142,10,30.0
寵物業,Acana,0.161,39,30.8
寵物業,瑞威,0.182,13,46.2
寵物業,莫比,0.183,14,21.4
寵物業,Mobby,0.238,57,15.8
寵物業,怪獸部落,0.263,47,31.9
寵物業,毛孩時代,0.285,10,0.0
寵物業,歐睿健,0.326,12,16.7
寵物業,Hill's,0.34,37,5.4
寵物業,Orijen,0.361,118,2.5
寵物業,Hill’s,0.379,15,6.7
寵物業,Nutram,0.483,16,0.0
寵物業,法米納,0.487,13,7.7
寵物業,Farmina,0.558,68,1.5
寵物業,Tiki Cat,0.573,23,0.0
寵物業,AAFCO,0.607,15,13.3
寵物業,Purina ONE,0.621,10,10.0
寵物業,Instinct,0.627,68,0.0
寵物業,Wellness,0.644,22,0.0
寵物業,ParkCat,0.644,11,0.0
寵物業,第一饗宴,0.669,16,0.0
寵物業,ZiwiPeak,0.679,11,0.0
寵物業,Ziwi Peak,0.714,11,0.0
寵物業,Friskies,0.746,14,0.0
寵物業,HeroMama,0.786,28,0.0
寵物業,FirstMate,0.849,33,0.0
寵物業,Wellness CORE,0.858,32,0.0
寵物業,Royal Canin,0.885,88,1.1
寵物業,Purina Pro Plan,0.955,21,0.0
寵物業,Taste of the Wild,0.964,11,0.0
寵物業,La Roche-Posay,1.0,11,0.0
搬家類,Biore,0.0,10,100.0
搬家類,PTT,0.025,49,85.7
搬家類,康福搬家,0.163,79,30.4
搬家類,腳勤搬家,0.199,11,36.4
搬家類,巨力搬家,0.231,57,12.3
搬家類,松福搬家,0.277,14,28.6
搬家類,明天搬家,0.297,10,10.0
搬家類,天喜搬家,0.309,42,2.4
搬家類,成傑搬家,0.329,29,10.3
搬家類,捷達搬家,0.34,17,0.0
搬家類,國民搬家,0.349,12,8.3
搬家類,康潔搬家,0.353,13,7.7
搬家類,搬家先生,0.366,15,13.3
搬家類,一福搬家,0.376,12,0.0
搬家類,榮福搬家,0.379,12,0.0
搬家類,日興搬家,0.393,18,5.6
搬家類,孟成搬家,0.433,14,7.1
搬家類,LINE,0.458,28,0.0
搬家類,天興搬家,0.537,10,0.0
搬家類,添福精緻搬家,0.568,15,0.0
搬家類,Dcard,0.658,41,0.0
搬家類,超便宜搬家,0.731,71,0.0
搬家類,Google,0.764,39,2.6
搬家類,崔媽媽基金會,0.852,58,0.0
搬家類,天喜台北搬家,0.876,11,0.0
搬家類,Steven The Mover,0.975,22,0.0
搬家類,Lalamove,0.976,51,0.0
搬家類,La Roche-Posay,1.0,10,0.0
服裝類,GU,0.0,42,100.0
服裝類,COS,0.091,38,36.8
服裝類,H&M,0.117,26,38.5
服裝類,NET,0.165,15,0.0
服裝類,iROO,0.214,26,15.4
服裝類,MOMA,0.235,19,5.3
服裝類,Zara,0.269,11,18.2
服裝類,ZARA,0.318,30,6.7
服裝類,PAZZO,0.326,15,6.7
服裝類,MYDRESS,0.45,11,27.3
服裝類,Mango,0.462,13,0.0
服裝類,Theory,0.531,14,0.0
服裝類,MEIER.Q,0.536,12,0.0
服裝類,Uniqlo,0.565,25,0.0
服裝類,UNIQLO,0.584,35,0.0
服裝類,SO NICE,0.641,16,0.0
服裝類,PolyLulu,0.647,17,5.9
服裝類,AIR SPACE,0.74,15,0.0
服裝類,Air Space,0.758,12,0.0
服裝類,Reformation,0.87,16,0.0
服裝類,Studio Doe,0.878,10,0.0
服裝類,Self-Portrait,0.956,11,0.0
法律類,Biore,0.025,20,95.0
法律類,法律圈,0.11,19,73.7
法律類,林明侖,0.16,13,61.5
法律類,OLAW,0.329,21,23.8
法律類,PAMO,0.335,42,23.8
法律類,鴻邦法律事務所,0.444,11,0.0
法律類,法律010,0.45,10,0.0
法律類,喆律法律事務所,0.472,14,7.1
法律類,政理法律事務所,0.516,28,10.7
法律類,PRO360,0.668,20,5.0
法律類,法律扶助基金會,0.83,17,5.9
法律類,協恆國際法律事務所,0.881,13,0.0
法律類,La Roche-Posay,1.0,20,0.0
科技類,Eufy,0.07,45,77.8
科技類,Tapo,0.134,34,64.7
科技類,石頭,0.136,22,40.9
科技類,小米,0.137,39,66.7
科技類,MOVA,0.179,10,50.0
科技類,追覓,0.203,25,24.0
科技類,Dreame,0.283,141,32.6
科技類,Xiaomi,0.359,114,13.2
科技類,Narwal,0.416,32,9.4
科技類,iRobot,0.453,83,6.0
科技類,科沃斯,0.632,19,0.0
科技類,Ecovacs,0.707,58,0.0
科技類,ECOVACS,0.711,62,0.0
