client_bucket,keyword_count,analyzable_aio_tasks,tasks_with_aio_refs,aio_to_serp_top3_task_overlap_pct,aio_to_serp_top10_task_overlap_pct,aio_to_serp_top3_domain_overlap_pct,aio_to_serp_top10_domain_overlap_pct
client_bucket_01,45,1192,1188,97.81,99.92,24.57,61.76
client_bucket_02,43,1088,1058,93.1,99.91,25.83,65.43
client_bucket_03,61,1075,1069,96.35,99.81,28.06,67.13
client_bucket_04,38,978,946,98.1,100.0,24.65,63.62
client_bucket_05,33,919,894,94.07,100.0,30.56,77.7
client_bucket_06,42,918,915,94.43,99.02,23.43,50.95
client_bucket_07,35,856,847,94.1,99.17,25.12,61.11
client_bucket_08,16,406,395,96.2,99.75,26.73,67.28
client_bucket_09,16,350,346,97.4,100.0,24.58,64.1
client_bucket_10,39,342,329,95.44,99.39,24.14,57.71
client_bucket_11,22,340,325,90.77,99.38,24.03,59.33
client_bucket_12,10,282,278,97.84,100.0,24.58,57.85
client_bucket_13,16,199,196,97.96,98.98,25.28,62.61
client_bucket_14,9,198,194,92.27,99.48,22.97,56.25
client_bucket_15,8,184,180,98.89,100.0,19.67,43.38
client_bucket_16,5,138,125,92.0,100.0,26.2,65.87
client_bucket_17,5,95,94,100.0,100.0,21.21,55.38
client_bucket_18,3,73,63,93.65,93.65,27.64,57.39
client_bucket_19,5,60,51,96.08,100.0,28.95,64.48
