industry,model_name,intent_type,category,category_label,citation_count,citation_share_pct
科技類,chatgpt,推薦型,brand_site,品牌 / 官方型來源,6,2.67
科技類,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,99,44.0
科技類,chatgpt,推薦型,news_media,新聞媒體,85,37.78
科技類,chatgpt,推薦型,social_media,社群媒體,8,3.56
科技類,chatgpt,推薦型,ecommerce_site,電商 / 平台,10,4.44
科技類,chatgpt,推薦型,other_category,其他來源,17,7.56
科技類,chatgpt,推薦型,unknown,未知來源,0,0.0
科技類,chatgpt,比較型,brand_site,品牌 / 官方型來源,35,14.4
科技類,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,146,60.08
科技類,chatgpt,比較型,news_media,新聞媒體,48,19.75
科技類,chatgpt,比較型,social_media,社群媒體,2,0.82
科技類,chatgpt,比較型,ecommerce_site,電商 / 平台,2,0.82
科技類,chatgpt,比較型,other_category,其他來源,10,4.12
科技類,chatgpt,比較型,unknown,未知來源,0,0.0
科技類,chatgpt,知識型,brand_site,品牌 / 官方型來源,38,13.97
科技類,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,122,44.85
科技類,chatgpt,知識型,news_media,新聞媒體,55,20.22
科技類,chatgpt,知識型,social_media,社群媒體,14,5.15
科技類,chatgpt,知識型,ecommerce_site,電商 / 平台,27,9.93
科技類,chatgpt,知識型,other_category,其他來源,16,5.88
科技類,chatgpt,知識型,unknown,未知來源,0,0.0
科技類,gemini,推薦型,brand_site,品牌 / 官方型來源,90,17.93
科技類,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,138,27.49
科技類,gemini,推薦型,news_media,新聞媒體,100,19.92
科技類,gemini,推薦型,social_media,社群媒體,125,24.9
科技類,gemini,推薦型,ecommerce_site,電商 / 平台,49,9.76
科技類,gemini,推薦型,other_category,其他來源,0,0.0
科技類,gemini,推薦型,unknown,未知來源,0,0.0
科技類,gemini,比較型,brand_site,品牌 / 官方型來源,108,23.33
科技類,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,121,26.13
科技類,gemini,比較型,news_media,新聞媒體,105,22.68
