industry,model,intent,adjacent_day_overlap_pct,any_day_overlap_pct,exact_same_adjacent_day_pair_pct,unique_count,appeared_at_least_3_days_count,appeared_at_least_4_days_count
科技類,chatgpt,推薦型,13.02,12.52,0.0,144,17,6
科技類,chatgpt,比較型,17.82,15.02,0.0,150,20,9
科技類,chatgpt,知識型,22.84,22.54,0.0,140,32,19
科技類,gemini,推薦型,28.27,27.41,0.0,230,58,29
科技類,gemini,比較型,26.82,25.61,0.0,223,61,30
科技類,gemini,知識型,32.5,32.24,0.0,218,61,39
法律類,chatgpt,推薦型,28.78,26.18,0.0,137,34,20
法律類,chatgpt,比較型,29.04,26.2,4.44,86,13,11
法律類,chatgpt,知識型,27.11,23.39,0.0,123,31,13
法律類,gemini,推薦型,23.34,24.37,0.0,266,70,38
法律類,gemini,比較型,29.17,28.36,0.0,265,75,54
法律類,gemini,知識型,29.03,26.94,0.0,341,88,52
金融類,chatgpt,推薦型,37.47,30.91,4.44,106,32,17
金融類,chatgpt,比較型,25.31,25.46,0.0,74,26,12
金融類,chatgpt,知識型,24.91,18.77,0.0,94,18,10
金融類,gemini,推薦型,24.44,23.07,0.0,272,66,37
金融類,gemini,比較型,27.3,26.86,0.0,284,85,53
金融類,gemini,知識型,30.14,28.93,0.0,246,66,40
行銷類,chatgpt,推薦型,29.72,26.24,0.0,184,45,25
行銷類,chatgpt,比較型,17.63,17.88,0.0,100,20,6
行銷類,chatgpt,知識型,13.61,10.63,0.0,164,15,7
行銷類,gemini,推薦型,43.42,42.9,0.0,191,83,60
行銷類,gemini,比較型,26.71,26.33,0.0,266,76,51
行銷類,gemini,知識型,16.16,15.54,0.0,322,45,21
搬家類,chatgpt,推薦型,26.74,21.97,0.0,173,43,24
搬家類,chatgpt,比較型,25.2,21.74,2.22,117,31,14
搬家類,chatgpt,知識型,17.8,18.01,0.0,167,32,12
搬家類,gemini,推薦型,25.11,26.6,0.0,271,74,46
搬家類,gemini,比較型,27.11,26.84,0.0,267,74,50
搬家類,gemini,知識型,20.88,20.94,0.0,326,77,38
服裝類,chatgpt,推薦型,21.94,18.63,0.0,163,23,14
服裝類,chatgpt,比較型,17.57,16.81,0.0,108,13,7
服裝類,chatgpt,知識型,12.5,11.64,0.0,112,8,2
服裝類,gemini,推薦型,23.72,23.94,0.0,282,54,35
服裝類,gemini,比較型,25.18,22.52,0.0,300,71,36
服裝類,gemini,知識型,20.24,15.97,0.0,292,54,29
寵物業,chatgpt,推薦型,21.92,18.54,0.0,150,34,13
寵物業,chatgpt,比較型,15.87,13.66,0.0,157,23,10
寵物業,chatgpt,知識型,23.22,21.27,0.0,110,23,17
寵物業,gemini,推薦型,30.88,32.06,0.0,224,73,48
寵物業,gemini,比較型,26.41,25.03,0.0,288,74,47
寵物業,gemini,知識型,21.14,21.83,0.0,273,67,33
美妝業,chatgpt,推薦型,17.91,14.68,0.0,154,19,11
美妝業,chatgpt,比較型,19.78,20.89,2.22,103,19,10
美妝業,chatgpt,知識型,16.92,12.5,0.0,129,15,4
美妝業,gemini,推薦型,28.23,28.26,0.0,307,87,62
美妝業,gemini,比較型,26.36,27.28,0.0,313,90,56
美妝業,gemini,知識型,25.36,24.81,0.0,349,85,45
食品業,chatgpt,推薦型,22.03,21.56,2.22,156,32,20
食品業,chatgpt,比較型,22.0,19.76,2.22,121,25,11
食品業,chatgpt,知識型,26.97,22.56,2.22,73,10,3
食品業,gemini,推薦型,27.34,26.41,0.0,338,93,54
食品業,gemini,比較型,20.72,22.14,0.0,331,82,47
食品業,gemini,知識型,37.6,34.1,0.0,151,69,41
電腦類,chatgpt,推薦型,11.91,11.78,0.0,159,18,5
電腦類,chatgpt,比較型,19.22,16.27,0.0,144,21,7
電腦類,chatgpt,知識型,10.99,9.43,0.0,95,11,2
電腦類,gemini,推薦型,26.93,24.68,0.0,233,51,32
電腦類,gemini,比較型,21.03,21.16,0.0,224,52,28
電腦類,gemini,知識型,21.92,21.88,0.0,286,58,32
