industry,model_name,avg_mention_count,avg_citation_count,n
科技類,chatgpt,2.81,4.57,162
科技類,gemini,4.01,8.88,162
法律類,chatgpt,1.36,4.11,162
法律類,gemini,2.15,11.98,162
金融類,chatgpt,2.86,3.58,162
金融類,gemini,7.81,11.64,162
行銷類,chatgpt,3.89,4.71,161
行銷類,gemini,4.17,10.04,162
搬家類,chatgpt,2.42,5.25,162
搬家類,gemini,4.73,11.48,162
服裝類,chatgpt,2.12,3.84,162
服裝類,gemini,3.79,11.43,162
寵物業,chatgpt,3.59,4.48,162
寵物業,gemini,4.78,10.7,162
美妝業,chatgpt,2.82,3.94,162
美妝業,gemini,4.25,12.79,162
食品業,chatgpt,3.76,3.91,161
食品業,gemini,6.73,11.79,162
電腦類,chatgpt,4.2,3.76,161
電腦類,gemini,5.82,9.43,162
