industry,model,intent_type,intent,total,chinese_pct,english_pct,mixed_pct,other_pct
科技類,chatgpt,all,,161,83.2,0.0,16.8,0.0
科技類,gemini,all,,673,73.0,8.0,19.0,0.0
科技類,chatgpt,,推薦型,54,100.0,0.0,0.0,0.0
科技類,chatgpt,,比較型,53,50.9,0.0,49.1,0.0
科技類,chatgpt,,知識型,54,98.1,0.0,1.9,0.0
科技類,gemini,,推薦型,254,63.4,9.4,27.2,0.0
科技類,gemini,,比較型,207,66.7,5.3,28.0,0.0
科技類,gemini,,知識型,212,90.6,9.0,0.5,0.0
法律類,chatgpt,all,,161,99.4,0.0,0.6,0.0
法律類,gemini,all,,670,95.1,0.0,4.9,0.0
法律類,chatgpt,,推薦型,54,100.0,0.0,0.0,0.0
法律類,chatgpt,,比較型,53,98.1,0.0,1.9,0.0
法律類,chatgpt,,知識型,54,100.0,0.0,0.0,0.0
法律類,gemini,,推薦型,224,92.9,0.0,7.1,0.0
法律類,gemini,,比較型,227,93.4,0.0,6.6,0.0
法律類,gemini,,知識型,219,99.1,0.0,0.9,0.0
金融類,chatgpt,all,,140,86.4,0.0,13.6,0.0
金融類,gemini,all,,668,83.4,1.6,15.0,0.0
金融類,chatgpt,,推薦型,54,100.0,0.0,0.0,0.0
金融類,chatgpt,,比較型,42,54.8,0.0,45.2,0.0
金融類,chatgpt,,知識型,44,100.0,0.0,0.0,0.0
金融類,gemini,,推薦型,230,93.9,0.9,5.2,0.0
金融類,gemini,,比較型,244,62.3,1.6,36.1,0.0
金融類,gemini,,知識型,194,97.4,2.6,0.0,0.0
行銷類,chatgpt,all,,161,0.0,3.1,96.9,0.0
行銷類,gemini,all,,612,2.1,18.0,79.9,0.0
行銷類,chatgpt,,推薦型,53,0.0,0.0,100.0,0.0
行銷類,chatgpt,,比較型,54,0.0,9.3,90.7,0.0
行銷類,chatgpt,,知識型,54,0.0,0.0,100.0,0.0
行銷類,gemini,,推薦型,207,0.0,7.2,92.8,0.0
行銷類,gemini,,比較型,220,0.0,17.3,82.7,0.0
行銷類,gemini,,知識型,185,7.0,30.8,62.2,0.0
搬家類,chatgpt,all,,159,86.8,0.0,13.2,0.0
搬家類,gemini,all,,660,82.1,2.6,15.3,0.0
搬家類,chatgpt,,推薦型,54,94.4,0.0,5.6,0.0
搬家類,chatgpt,,比較型,54,74.1,0.0,25.9,0.0
搬家類,chatgpt,,知識型,51,92.2,0.0,7.8,0.0
搬家類,gemini,,推薦型,243,66.7,0.0,33.3,0.0
搬家類,gemini,,比較型,208,89.9,1.0,9.1,0.0
搬家類,gemini,,知識型,209,92.3,7.2,0.5,0.0
服裝類,chatgpt,all,,131,77.9,0.0,22.1,0.0
服裝類,gemini,all,,640,69.5,18.4,12.0,0.0
服裝類,chatgpt,,推薦型,54,77.8,0.0,22.2,0.0
服裝類,chatgpt,,比較型,42,81.0,0.0,19.0,0.0
服裝類,chatgpt,,知識型,35,74.3,0.0,25.7,0.0
服裝類,gemini,,推薦型,216,69.0,19.0,12.0,0.0
服裝類,gemini,,比較型,221,62.4,16.3,21.3,0.0
服裝類,gemini,,知識型,203,77.8,20.2,2.0,0.0
寵物業,chatgpt,all,,146,95.2,0.0,4.8,0.0
寵物業,gemini,all,,624,69.7,14.6,15.7,0.0
寵物業,chatgpt,,推薦型,54,90.7,0.0,9.3,0.0
寵物業,chatgpt,,比較型,48,95.8,0.0,4.2,0.0
寵物業,chatgpt,,知識型,44,100.0,0.0,0.0,0.0
寵物業,gemini,,推薦型,204,65.7,12.3,22.1,0.0
寵物業,gemini,,比較型,215,72.1,11.2,16.7,0.0
寵物業,gemini,,知識型,205,71.2,20.5,8.3,0.0
美妝業,chatgpt,all,,151,51.0,0.7,48.3,0.0
美妝業,gemini,all,,615,69.1,10.7,20.2,0.0
美妝業,chatgpt,,推薦型,54,70.4,0.0,29.6,0.0
美妝業,chatgpt,,比較型,45,51.1,0.0,48.9,0.0
美妝業,chatgpt,,知識型,52,30.8,1.9,67.3,0.0
美妝業,gemini,,推薦型,201,71.1,12.9,15.9,0.0
美妝業,gemini,,比較型,206,70.4,14.1,15.5,0.0
美妝業,gemini,,知識型,208,65.9,5.3,28.8,0.0
食品業,chatgpt,all,,145,100.0,0.0,0.0,0.0
食品業,gemini,all,,725,98.1,0.0,1.9,0.0
食品業,chatgpt,,推薦型,54,100.0,0.0,0.0,0.0
食品業,chatgpt,,比較型,52,100.0,0.0,0.0,0.0
食品業,chatgpt,,知識型,39,100.0,0.0,0.0,0.0
食品業,gemini,,推薦型,283,100.0,0.0,0.0,0.0
食品業,gemini,,比較型,269,94.8,0.0,5.2,0.0
食品業,gemini,,知識型,173,100.0,0.0,0.0,0.0
電腦類,chatgpt,all,,142,44.4,5.6,50.0,0.0
電腦類,gemini,all,,682,34.5,35.0,30.5,0.0
電腦類,chatgpt,,推薦型,53,75.5,0.0,24.5,0.0
電腦類,chatgpt,,比較型,53,37.7,15.1,47.2,0.0
電腦類,chatgpt,,知識型,36,8.3,0.0,91.7,0.0
電腦類,gemini,,推薦型,253,36.0,34.4,29.6,0.0
電腦類,gemini,,比較型,209,37.3,40.2,22.5,0.0
電腦類,gemini,,知識型,220,30.0,30.9,39.1,0.0
